run time: 2018-12-24 17:20:43
两宋元明 	 带着仓库到大明 		 𘢘𘢔𘢙𘢞𘢝𘢘 	  迪巴拉爵士 
都市生活 	 重生之财源滚滚 		 𘢖𘢚𘢛𘢞𘢚𘢖 	  老鹰吃小鸡 
游戏系统 	 全能游戏设计师 		 𘢝𘢘𘢟𘢞𘢛𘢔 	  青衫取醉 
都市生活 	 逆流纯真年代 		 𘢝𘢜𘢙𘢞𘢝𘢟 	  人间武库 
都市生活 	 俗人回档 		 𘢟𘢝𘢚𘢞𘢝𘢔 	  庚不让 
游戏异界 	 逍遥梦路 		 𘢗𘢘𘢔𘢞𘢙𘢖 	  文抄公 
都市生活 	 老衲要还俗 		 𘢗𘢜𘢔𘢞𘢙 	  一梦黄粱 
未来世界 	 修真四万年 		 𘢜𘢛𘢟𘢜𘢞𘢘𘢜 	  卧牛真人 
都市生活 	 文娱万岁 		 𘢝𘢛𘢗𘢞𘢗 	  我最白 
时空穿梭 	 异常生物见闻录 		 𘢘𘢝𘢟𘢞𘢖𘢘 	  远瞳 
架空历史 	 大魏宫廷 		 𘢖𘢚𘢟𘢞𘢖𘢙 	  贱宗首席弟子 
幻想修仙 	 剑灵同居日记 		 𘢜𘢙𘢗𘢞𘢝𘢗 	  国王陛下 
清史民国 	 民国之文豪崛起 		 𘢝𘢟𘢔𘢞𘢖𘢖 	  王梓钧 
时空穿梭 	 系统的黑科技网吧 		 𘢝𘢜𘢘𘢞𘢗𘢟 	  逆水之叶 
两晋隋唐 	 大唐贞观第一纨绔 		 𘢟𘢜𘢖𘢞𘢗𘢟 	  危险的世界 
幻想修仙 	 凡人修仙传 		 𘢚𘢟𘢟𘢞𘢜𘢗 	  忘语 
东方玄幻 	 神道丹尊 		 𘢜𘢛𘢝𘢜𘢞𘢟𘢟 	  孤单地飞 
恐怖惊悚 	 杀神永生 		 𘢟𘢜𘢟𘢞𘢗𘢝 	  恐怖的阿肥 
恐怖惊悚 	 绝命手游 		 𘢜𘢝𘢘𘢞𘢗𘢝 	  奥比椰 
足球运动 	 超级预言大师 		 𘢝𘢝𘢙𘢞𘢜 	  XX神 
幻想修仙 	 走进修仙 		 𘢖𘢚𘢚𘢞𘢗𘢜 	  吾道长不孤 
都市生活 	 我的姐姐是大明星 		 𘢝𘢜𘢘𘢞𘢔𘢖 	  卖报小郎君 
都市生活 	 我真不是开玩笑 		 𘢗𘢙𘢚𘢞𘢛𘢚 	  曾经拥有的方向感 
游戏主播 	 梦幻西游大主播 		 𘢜𘢚𘢝𘢞𘢜𘢙 	  懵比的小提莫 
东方玄幻 	 捡了本天书 		 𘢝𘢛𘢛𘢞𘢘 	  麻烦 
黑暗幻想 	 黑巫师朱鹏 		 𘢟𘢙𘢛𘢞𘢜𘢝 	  狂翻的咸鱼2 
时空穿梭 	 史上最强店主 		 𘢟𘢘𘢛𘢞𘢛𘢖 	  南极烈日 
东方玄幻 	 活在诸天 		 𘢗𘢛𘢛𘢞𘢘𘢖 	  你好再见见 
架空历史 	 逍遥小书生 		 𘢝𘢙𘢚𘢞𘢛𘢔 	  荣小荣 
异世大陆 	 斗破苍穹 		 𘢘𘢝𘢙𘢞𘢔𘢚 	  天蚕土豆 
